Accl    Speed(s1)    Speed(s2)             RPM
20%    60(km/hr)    37.5(miles/hr)    1800(rpm)
74%    222(km/hr)    138.75(miles/hr)    6660(rpm)
74%    222(km/hr)    138.75(miles/hr)    6660(rpm)
17%    51(km/hr)    31.875(miles/hr)    1530(rpm)
0%    0(km/hr)    0.0(miles/hr)    0(rpm)
55%    165(km/hr)    103.125(miles/hr)    4950(rpm)
18%    54(km/hr)    33.75(miles/hr)    1620(rpm)
77%    231(km/hr)    144.375(miles/hr)    6930(rpm)
72%    216(km/hr)    135.0(miles/hr)    6480(rpm)
53%    159(km/hr)    99.375(miles/hr)    4770(rpm)
